TIN of Withholding Agent TIN: 008791976-0000
Alphalist Form              : 1601EQ
Taxable Month                : 04/2026

LINE NUM       SCHEDULE     ERROR DESCRIPTION
0000000034     1.0          Amount of Income Payment is empty or zero
0000000034     1.0          Amount of Tax Withheld is empty or zero
0000000034     1.0          Detail Insufficient Column
0000000035     1.0          Invalid Payees TIN
0000000035     1.0          Invalid Characters in TIN of Payee
0000000035     1.0          ATC is invalid
0000000035     1.0          Amount of Income Payment is empty or zero
0000000035     1.0          Amount of Tax Withheld is empty or zero
0000000035     1.0          Detail Insufficient Column
0000000036     1.0          Invalid length of Payees Branch Code
0000000036     1.0          Invalid Characters in Branch Code of Payee
0000000036     1.0          ATC is invalid
0000000036     1.0          Amount of Income Payment is empty or zero
0000000036     1.0          Amount of Tax Withheld is empty or zero
0000000036     1.0          Detail Insufficient Column
0000000037     1.0          Invalid length of Payees Branch Code
0000000037     1.0          Invalid Characters in Branch Code of Payee
0000000037     1.0          ATC is invalid
0000000037     1.0          Amount of Income Payment is empty or zero
0000000037     1.0          Amount of Tax Withheld is empty or zero
0000000037     1.0          Detail Insufficient Column
0000000038     1.0          Invalid Payees TIN
0000000038     1.0          Invalid Characters in TIN of Payee
0000000038     1.0          ATC is invalid
0000000038     1.0          Amount of Income Payment is empty or zero
0000000038     1.0          Amount of Tax Withheld is empty or zero
0000000038     1.0          Detail Insufficient Column
0000000039     1.0          Invalid Payees TIN
0000000039     1.0          Invalid Characters in TIN of Payee
0000000039     1.0          ATC is invalid
0000000039     1.0          Amount of Income Payment is empty or zero
0000000039     1.0          Amount of Tax Withheld is empty or zero
0000000039     1.0          Detail Insufficient Column
0000000040     1.0          Invalid Payees TIN
0000000040     1.0          Invalid Characters in TIN of Payee
0000000040     1.0          ATC is invalid
0000000040     1.0          Amount of Income Payment is empty or zero
0000000040     1.0          Amount of Tax Withheld is empty or zero
0000000040     1.0          Detail Insufficient Column
0000000041     1.0          Invalid Payees TIN
0000000041     1.0          Invalid Characters in TIN of Payee
0000000041     1.0          ATC is invalid
0000000041     1.0          Amount of Income Payment is empty or zero
0000000041     1.0          Amount of Tax Withheld is empty or zero
0000000041     1.0          Detail Insufficient Column
0000000042     1.0          Invalid Payees TIN
0000000042     1.0          Invalid Characters in TIN of Payee
0000000042     1.0          ATC is invalid
0000000042     1.0          Amount of Income Payment is empty or zero
0000000042     1.0          Amount of Tax Withheld is empty or zero
0000000042     1.0          Detail Insufficient Column
0000000043     1.0          Invalid Payees TIN
0000000043     1.0          Invalid Characters in TIN of Payee
0000000043     1.0          ATC is invalid
0000000043     1.0          Amount of Income Payment is empty or zero
0000000043     1.0          Amount of Tax Withheld is empty or zero
0000000043     1.0          Detail Insufficient Column
0000000044     1.0          Invalid Payees TIN
0000000044     1.0          Invalid Characters in TIN of Payee
0000000044     1.0          ATC is invalid
0000000044     1.0          Amount of Income Payment is empty or zero
0000000044     1.0          Amount of Tax Withheld is empty or zero
0000000044     1.0          Detail Insufficient Column
0000000045     1.0          Invalid Payees TIN
0000000045     1.0          Invalid Characters in TIN of Payee
0000000045     1.0          ATC is invalid
0000000045     1.0          Amount of Income Payment is empty or zero
0000000045     1.0          Amount of Tax Withheld is empty or zero
0000000045     1.0          Detail Insufficient Column
0000000046     1.0          Invalid length of Payees Branch Code
0000000046     1.0          Invalid Characters in Branch Code of Payee
0000000046     1.0          ATC is invalid
0000000046     1.0          Amount of Income Payment is empty or zero
0000000046     1.0          Amount of Tax Withheld is empty or zero
0000000046     1.0          Detail Insufficient Column
0000000047     1.0          Invalid Payees TIN
0000000047     1.0          Invalid Characters in TIN of Payee
0000000047     1.0          ATC is invalid
0000000047     1.0          Amount of Income Payment is empty or zero
0000000047     1.0          Amount of Tax Withheld is empty or zero
0000000047     1.0          Detail Insufficient Column
0000000048     1.0          Invalid Payees TIN
0000000048     1.0          Invalid Characters in TIN of Payee
0000000048     1.0          ATC is invalid
0000000048     1.0          Amount of Income Payment is empty or zero
0000000048     1.0          Amount of Tax Withheld is empty or zero
0000000048     1.0          Detail Insufficient Column
0000000049     1.0          Control Insufficient Column
----------     --------     ------------------------------------------------------------
